"Coop Zrt","Excel haladó és PowerPoint","2015","10343","5","Irodai"
"Xerox Magyarország","Excel 2013 makróprogramozás","2015","10344","9","Irodai"
"Corning Hungary Kft","Excel 2010 haladó és VBA, angol nyelven","2015","10345","40","Irodai"
"AEGON Magyarország","Linux haladó - egyedi tananyag","2015","10346","6","Linux"
"Berton Lighting Kft","Excel 2010 középhaladó","2015","10347","9","irodai"
"Resources","Excel 2013 haladó","2015","10348","8","Irodai"
"Ericsson","Excel 2010 makróprogramozás","2015","10349","4","Irodai"
"Nissan","Excel haladó és Excel automatizálás angol nyelven","2015","10350","50","Irodai"
"HOYA Lens Hungary Zrt.","Excel 2010 makróprogramozás","2015","10351","8","Irodai"
"Pepsio Co.","Excel 2010 haladó tippek-Trükkök","2015","10352","5","Irodai"
"Offi Zrt.","SQL Adatbázis-kezelés","2015","10353","8","Adatbázis"
"Magyar Posta Zrt","Excel 2010 makróprogramozás","2015","10354","10","Irodai"
"Sandvik Magyarország","Excel 200 makróprogramozás","2015","10355","3","irodai"
"MKB","Linux Radhat rendszeradminisztráció","2015","10356","9","Linux"
"Knorr Bremse Kft","Tervezési minták és Refactoring JAVA","2015","10357","3","Programozás"
